LOGIN	1257770122810	1257770122815	5
RECUSERS	1257770122817	1257770122823	6
TOP10NEWS	1257770122825	1257770157230	34405
NEWPOST	1257770157232	1257770157244	12
LOGIN	1257770157247	1257770157248	1
TOP10FOLL	1257770157250	1257770157264	14
RECNEWS	1257770157266	1257770157272	6
NEWSFROM	1257770157281	1257770157298	17
NEWSFROM	1257770157301	1257770157313	12
NEWVOTE	1257770157315	1257770157317	2
NEWVOTE	1257770157319	1257770157320	1
LOGIN	1257770157322	1257770157323	1
NEWPOST	1257770157324	1257770157325	1
TOP10FOLL	1257770157327	1257770157334	7
LOGIN	1257770157336	1257770157338	2
TOP10FOLL	1257770157341	1257770157348	7
RECUSERS	1257770157349	1257770157354	5
LOGIN	1257770157356	1257770157357	1
TOP10NEWS	1257770157359	1257770191432	34073
TOP10FOLL	1257770191434	1257770191444	10
RECUSERS	1257770191446	1257770191451	5
RECNEWS	1257770191454	1257770191457	3
VOTESFROM	1257770191459	1257770191733	274
TOP10NEWS	1257770191737	1257770225450	33713
RECUSERS	1257770225455	1257770225461	6
NEWPOST	1257770225463	1257770225464	1
TOP10NEWS	1257770225465	1257770260052	34587
NEWSFROM	1257770260054	1257770260070	16
RECUSERS	1257770260072	1257770260079	7
NEWPOST	1257770260080	1257770260081	1
TOP10FOLL	1257770260083	1257770260090	7
RECUSERS	1257770260091	1257770260098	7
RECNEWS	1257770260099	1257770260104	5
TOP10FOLL	1257770260106	1257770260113	7
NEWPOST	1257770260114	1257770260115	1
TOP10NEWS	1257770260117	1257770293924	33807
FOLlFROM	1257770293925	1257770293929	4
TOP10NEWS	1257770293930	1257770328031	34101
LOGIN	1257770328033	1257770328035	2
TOP10FOLL	1257770328036	1257770328044	8
TOP10NEWS	1257770328046	1257770361825	33779
VOTESFROM	1257770361828	1257770362031	203
TOP10NEWS	1257770362034	1257770396002	33968
TOP10FOLL	1257770396004	1257770396014	10
VOTESFROM	1257770396016	1257770396219	203
RECNEWS	1257770396220	1257770396225	5
NEWVOTE	1257770396227	1257770396237	10
RECNEWS	1257770396238	1257770396243	5
TOP10NEWS	1257770396244	1257770430508	34264
RECUSERS	1257770430509	1257770430520	11
VOTESFROM	1257770430521	1257770430730	209
RECNEWS	1257770430732	1257770430735	3
TOP10NEWS	1257770430737	1257770465004	34267
LOGIN	1257770465006	1257770465007	1
RECUSERS	1257770465009	1257770465015	6
RECUSERS	1257770465017	1257770465020	3
RECUSERS	1257770465022	1257770465028	6
NEWVOTE	1257770465029	1257770465030	1
LOGIN	1257770465033	1257770465034	1
TOP10FOLL	1257770465035	1257770465042	7
NEWVOTE	1257770465043	1257770465044	1
NEWVOTE	1257770465046	1257770465047	1
TOP10FOLL	1257770465048	1257770465055	7
TOP10NEWS	1257770465056	1257770500387	35331
NEWVOTE	1257770500389	1257770500390	1
NEWPOST	1257770500392	1257770500393	1
TOP10FOLL	1257770500394	1257770500402	8
NEWVOTE	1257770500404	1257770500405	1
TOP10FOLL	1257770500407	1257770500413	6
RECNEWS	1257770500415	1257770500418	3
NEWSFROM	1257770500420	1257770500432	12
NEWVOTE	1257770500434	1257770500435	1
NEWSFROM	1257770500437	1257770500449	12
VOTESFROM	1257770500451	1257770500658	207
LOGIN	1257770500660	1257770500661	1
NEWVOTE	1257770500663	1257770500673	10
RECNEWS	1257770500675	1257770500679	4
NEWVOTE	1257770500681	1257770500682	1
FOLlFROM	1257770500685	1257770500688	3
VOTESFROM	1257770500689	1257770500901	212
NEWSFROM	1257770500903	1257770500916	13
VOTESFROM	1257770500918	1257770501130	212
RECNEWS	1257770501133	1257770501139	6
RECNEWS	1257770501140	1257770501144	4
NEWSFROM	1257770501146	1257770501159	13
NEWSFROM	1257770501161	1257770501174	13
TOP10FOLL	1257770501175	1257770501182	7
TOP10NEWS	1257770501184	1257770535428	34244
VOTESFROM	1257770535430	1257770535650	220
VOTESFROM	1257770535652	1257770535862	210
NEWSFROM	1257770535864	1257770535877	13
NEWPOST	1257770535879	1257770535889	10
LOGIN	1257770535891	1257770535892	1
NEWSFROM	1257770535893	1257770535906	13
TOP10NEWS	1257770535908	1257770570176	34268
LOGIN	1257770570178	1257770570179	1
FOLlFROM	1257770570180	1257770570183	3
RECUSERS	1257770570184	1257770570190	6
NEWPOST	1257770570191	1257770570192	1
RECUSERS	1257770570194	1257770570203	9
Mean time per query: 4472.02
Mean queries per minute: 13.416755739017267
